gene_id	gene_label	case_mean	control_mean	log2_fold_change	p_value	adjusted_p_value	neg_log10_adjusted_p	classification
101929959	BMS1P14 [101929959]	10.000000	11.000000	-0.125531	6.985354e-01	1.000000e+00	-0.000000	Not significant
107984244	LOC107984244 [107984244]	2.666667	3.000000	-0.125531	8.574624e-01	1.000000e+00	-0.000000	Not significant
8512	MBL1P [8512]	13.666667	15.000000	-0.125531	6.749867e-01	1.000000e+00	-0.000000	Not significant
642938	INSYN2A [642938]	10.000000	11.000000	-0.125531	6.650055e-01	1.000000e+00	-0.000000	Not significant
57830	KRTAP5-8 [57830]	2.666667	3.000000	-0.125531	9.236932e-01	1.000000e+00	-0.000000	Not significant
100292680	LINC00942 [100292680]	35.666667	39.000000	-0.125531	5.681826e-01	1.000000e+00	-0.000000	Not significant
105369626	LOC105369626 [105369626]	2.666667	3.000000	-0.125531	7.815113e-01	1.000000e+00	-0.000000	Not significant
401720	FIGNL2 [401720]	2.666667	3.000000	-0.125531	7.815113e-01	1.000000e+00	-0.000000	Not significant
100861541	DOCK9-DT [100861541]	2.666667	3.000000	-0.125531	8.311704e-01	1.000000e+00	-0.000000	Not significant
390441	OR11H7 [390441]	2.666667	3.000000	-0.125531	8.743671e-01	1.000000e+00	-0.000000	Not significant
574433	MIR412 [574433]	2.666667	3.000000	-0.125531	8.501067e-01	1.000000e+00	-0.000000	Not significant
103171574	LOC103171574 [103171574]	2.666667	3.000000	-0.125531	7.054570e-01	1.000000e+00	-0.000000	Not significant
64493	LINC00235 [64493]	2.666667	3.000000	-0.125531	8.981198e-01	1.000000e+00	-0.000000	Not significant
388436	LOC388436 [388436]	2.666667	3.000000	-0.125531	8.311704e-01	1.000000e+00	-0.000000	Not significant
26808	SNORD42B [26808]	2.666667	3.000000	-0.125531	8.827832e-01	1.000000e+00	-0.000000	Not significant
107984984	LOC107984984 [107984984]	6.333333	7.000000	-0.125531	7.518296e-01	1.000000e+00	-0.000000	Not significant
728642	CDK11A [728642]	875.333333	955.000000	-0.125531	5.203912e-01	1.000000e+00	-0.000000	Not significant
375035	SFT2D2 [375035]	1131.000000	1036.666667	0.125531	6.510728e-01	1.000000e+00	-0.000000	Not significant
8838	CCN6 [8838]	23.000000	21.000000	0.125531	6.341948e-01	1.000000e+00	-0.000000	Not significant
338322	NLRP10 [338322]	11.000000	10.000000	0.125531	7.664327e-01	1.000000e+00	-0.000000	Not significant
107983996	LOC107983996 [107983996]	11.000000	10.000000	0.125531	6.650055e-01	1.000000e+00	-0.000000	Not significant
376497	SLC27A1 [376497]	335.333333	307.333333	0.125401	5.303119e-01	1.000000e+00	-0.000000	Not significant
55691	FRMD4A [55691]	495.666667	454.333333	0.125355	6.826258e-01	1.000000e+00	-0.000000	Not significant
205564	SENP5 [205564]	693.333333	756.333333	-0.125300	5.276100e-01	1.000000e+00	-0.000000	Not significant
7799	PRDM2 [7799]	1091.666667	1001.000000	0.124971	4.765385e-01	1.000000e+00	-0.000000	Not significant
253260	RICTOR [253260]	786.666667	721.333333	0.124920	5.237594e-01	1.000000e+00	-0.000000	Not significant
57291	DANCR [57291]	519.333333	566.333333	-0.124760	5.016224e-01	1.000000e+00	-0.000000	Not significant
6431	SRSF6 [6431]	4329.333333	4720.333333	-0.124716	4.505427e-01	1.000000e+00	-0.000000	Not significant
126295	ZNF57 [126295]	51.333333	47.000000	0.124696	5.363467e-01	1.000000e+00	-0.000000	Not significant
196792	FAM24B [196792]	43.333333	47.333333	-0.124627	4.692946e-01	1.000000e+00	-0.000000	Not significant
124152	IQCK [124152]	91.666667	84.000000	0.124588	4.959331e-01	1.000000e+00	-0.000000	Not significant
57666	FBRSL1 [57666]	491.000000	450.333333	0.124465	6.619071e-01	1.000000e+00	-0.000000	Not significant
25895	EEF1AKMT3 [25895]	172.666667	158.333333	0.124273	5.893767e-01	1.000000e+00	-0.000000	Not significant
84865	CCDC142 [84865]	266.000000	244.000000	0.124058	5.864237e-01	1.000000e+00	-0.000000	Not significant
11341	SCRG1 [11341]	27.333333	25.000000	0.123989	6.706765e-01	1.000000e+00	-0.000000	Not significant
7569	ZNF182 [7569]	225.666667	246.000000	-0.123939	5.062458e-01	1.000000e+00	-0.000000	Not significant
10682	EBP [10682]	333.666667	363.666667	-0.123853	5.385848e-01	1.000000e+00	-0.000000	Not significant
55039	TRMT12 [55039]	211.000000	230.000000	-0.123829	4.442013e-01	1.000000e+00	-0.000000	Not significant
27	ABL2 [27]	754.666667	822.333333	-0.123727	5.408678e-01	1.000000e+00	-0.000000	Not significant
23053	ZSWIM8 [23053]	2159.000000	1981.666667	0.123589	5.448306e-01	1.000000e+00	-0.000000	Not significant
2072	ERCC4 [2072]	491.000000	535.000000	-0.123575	4.583603e-01	1.000000e+00	-0.000000	Not significant
84771	DDX11L2 [84771]	43.666667	40.000000	0.123575	6.334259e-01	1.000000e+00	-0.000000	Not significant
57728	WDR19 [57728]	888.333333	815.333333	0.123566	4.585603e-01	1.000000e+00	-0.000000	Not significant
414777	HCG18 [414777]	677.666667	622.000000	0.123471	5.538920e-01	1.000000e+00	-0.000000	Not significant
107983993	UPK3BL2 [107983993]	295.666667	271.333333	0.123469	5.567225e-01	1.000000e+00	-0.000000	Not significant
55294	FBXW7 [55294]	316.333333	344.666667	-0.123382	5.685245e-01	1.000000e+00	-0.000000	Not significant
374897	SBSN [374897]	19.333333	17.666667	0.123382	6.079589e-01	1.000000e+00	-0.000000	Not significant
26771	SNORD102 [26771]	17.666667	19.333333	-0.123382	7.294500e-01	1.000000e+00	-0.000000	Not significant
101928953	LOC101928953 [101928953]	117.000000	107.333333	0.123310	7.768682e-01	1.000000e+00	-0.000000	Not significant
79729	SH3D21 [79729]	617.666667	567.000000	0.123271	7.921786e-01	1.000000e+00	-0.000000	Not significant
4750	NEK1 [4750]	813.666667	886.333333	-0.123266	5.139947e-01	1.000000e+00	-0.000000	Not significant
3133	HLA-E [3133]	4249.000000	4628.000000	-0.123238	4.930498e-01	1.000000e+00	-0.000000	Not significant
25836	NIPBL [25836]	1884.000000	2052.000000	-0.123169	5.106045e-01	1.000000e+00	-0.000000	Not significant
23215	PRRC2C [23215]	6027.000000	6564.000000	-0.123116	4.768839e-01	1.000000e+00	-0.000000	Not significant
641371	ACOT1 [641371]	137.666667	126.333333	0.123011	5.457346e-01	1.000000e+00	-0.000000	Not significant
192669	AGO3 [192669]	946.000000	868.666667	0.122902	6.800761e-01	1.000000e+00	-0.000000	Not significant
64114	TMBIM1 [64114]	2702.333333	2942.666667	-0.122875	4.902876e-01	1.000000e+00	-0.000000	Not significant
7462	LAT2 [7462]	15.333333	14.000000	0.122857	7.901806e-01	1.000000e+00	-0.000000	Not significant
255374	MBLAC1 [255374]	15.333333	14.000000	0.122857	6.396669e-01	1.000000e+00	-0.000000	Not significant
105374005	LOC105374005 [105374005]	14.000000	15.333333	-0.122857	6.325851e-01	1.000000e+00	-0.000000	Not significant
9037	SEMA5A [9037]	1011.666667	929.000000	0.122857	5.228911e-01	1.000000e+00	-0.000000	Not significant
5451	POU2F1 [5451]	501.666667	460.666667	0.122750	6.435181e-01	1.000000e+00	-0.000000	Not significant
23117	NPIPB3 [23117]	1009.333333	927.000000	0.122635	8.249122e-01	1.000000e+00	-0.000000	Not significant
90639	COX19 [90639]	299.666667	326.333333	-0.122596	4.690541e-01	1.000000e+00	-0.000000	Not significant
6310	ATXN1 [6310]	559.666667	514.000000	0.122571	4.569730e-01	1.000000e+00	-0.000000	Not significant
9043	SPAG9 [9043]	3183.000000	3465.333333	-0.122570	4.775972e-01	1.000000e+00	-0.000000	Not significant
8569	MKNK1 [8569]	883.333333	811.333333	0.122518	6.716284e-01	1.000000e+00	-0.000000	Not significant
200810	ALG1L1P [200810]	25.333333	27.666667	-0.122484	6.486336e-01	1.000000e+00	-0.000000	Not significant
8287	USP9Y [8287]	507.000000	465.666667	0.122436	6.919332e-01	1.000000e+00	-0.000000	Not significant
79845	RNF122 [79845]	40.000000	36.666667	0.122336	6.222496e-01	1.000000e+00	-0.000000	Not significant
1875	E2F5 [1875]	36.666667	40.000000	-0.122336	6.388386e-01	1.000000e+00	-0.000000	Not significant
5286	PIK3C2A [5286]	2086.000000	2270.666667	-0.122321	5.154506e-01	1.000000e+00	-0.000000	Not significant
342909	ZNF284 [342909]	212.333333	195.000000	0.122256	5.526516e-01	1.000000e+00	-0.000000	Not significant
220992	ZNF485 [220992]	64.666667	59.333333	0.122206	4.471452e-01	1.000000e+00	-0.000000	Not significant
79598	CEP97 [79598]	312.000000	339.666667	-0.122198	5.009207e-01	1.000000e+00	-0.000000	Not significant
390927	ZNF793 [390927]	282.333333	259.333333	0.122140	6.788153e-01	1.000000e+00	-0.000000	Not significant
107985885	PPP4R3B-DT [107985885]	10.333333	11.333333	-0.121991	8.225779e-01	1.000000e+00	-0.000000	Not significant
112267985	LOC112267985 [112267985]	10.333333	11.333333	-0.121991	6.264963e-01	1.000000e+00	-0.000000	Not significant
644660	RAD21-AS1 [644660]	21.666667	23.666667	-0.121991	6.482666e-01	1.000000e+00	-0.000000	Not significant
107987152	LOC107987152 [107987152]	21.666667	23.666667	-0.121991	7.777777e-01	1.000000e+00	-0.000000	Not significant
24	ABCA4 [24]	11.333333	10.333333	0.121991	7.932357e-01	1.000000e+00	-0.000000	Not significant
105370489	LOC105370489 [105370489]	23.666667	21.666667	0.121991	4.854988e-01	1.000000e+00	-0.000000	Not significant
147685	C19orf18 [147685]	36.000000	33.000000	0.121991	7.578275e-01	1.000000e+00	-0.000000	Not significant
51174	TUBD1 [51174]	118.333333	108.666667	0.121872	5.389611e-01	1.000000e+00	-0.000000	Not significant
137392	CIBAR1 [137392]	475.666667	517.666667	-0.121827	4.952968e-01	1.000000e+00	-0.000000	Not significant
379025	PSMA3-AS1 [379025]	893.333333	821.000000	0.121674	7.470352e-01	1.000000e+00	-0.000000	Not significant
115265	DDIT4L [115265]	518.333333	476.333333	0.121664	4.737547e-01	1.000000e+00	-0.000000	Not significant
